File No,Real/Fake
44,R
278,F
276,R
84,F
275,F
146,F
310,F
30,F
31,R
182,F
12,R
315,F
193,F
347,R
38,R
177,R
154,R
121,R
258,R
385,R
291,F
87,F
165,R
59,R
97,R
309,F
67,F
384,R
336,F
138,R
181,R
341,R
390,F
177,F
41,R
49,R
380,F
111,R
237,F
95,R
278,R
251,R
82,F
370,F
49,F
266,F
263,F
324,F
94,F
129,F
31,F
94,F
127,R
226,F
62,R
297,F
323,F
257,R
243,F
254,R
263,R
252,R
315,F
354,R
194,F
320,R
190,R
339,F
375,R
160,R
26,R
52,F
205,F
339,F
260,F
283,F
54,R
252,F
150,R
358,R
365,R
251,F
130,F
376,F
384,R
268,F
109,F
332,R
111,R
74,F
319,F
209,F
215,R
173,F
322,R
359,F
185,F
136,F
203,F
86,F
99,R
379,R
144,F
6,R
187,R
110,F
270,R
98,F
74,F
317,F
350,R
141,F
295,R
393,R
119,F
42,F
21,F
285,F
255,F
106,R
226,R
289,F
206,R
33,F
272,F
129,F
391,R
276,R
287,F
156,F
359,F
320,F
387,R
187,F
8,F
379,F
360,R
74,F
207,R
302,F
375,F
261,F
379,R
96,F
46,R
196,F
18,R
278,R
382,F
30,F
62,F
362,R
209,F
80,R
154,R
320,R
76,F
197,F
213,F
294,R
41,R
265,R
176,R
67,R
66,R
185,F
328,F
84,F
330,R
7,F
328,R
206,F
164,R
241,F
14,R
173,R
297,F
354,R
179,R
366,R
21,F
55,R
9,F
206,R
255,R
306,R
118,R
47,F
75,R
324,F
249,F
85,R
188,F
234,F
155,F
86,R
90,F
199,R
382,F
170,R
253,R
197,R
398,F
189,F
266,F
209,F
67,F
66,R
6,F
326,F
363,F
285,R
141,F
277,F
167,R
202,R
220,R
338,R
277,F
116,F
374,F
310,R
156,F
275,R
134,R
298,R
297,F
230,F
29,R
149,R
299,F
282,F
157,F
119,R
55,F
211,F
153,R
41,R
284,F
19,F
231,R
53,F
174,R
233,F
79,F
305,F
138,F
394,R
153,R
273,F
153,R
143,R
224,F
361,F
132,F
387,R
7,R
154,F
264,R
315,F
346,R
8,R
325,F
228,F
105,F
338,R
250,R
338,R
340,R
180,F
174,R
15,R
236,F
344,R
262,R
21,R
277,F
41,R
112,R
368,R
198,F
138,F
262,R
132,R
92,R
192,R
246,F
399,R
274,F
321,R
56,R
256,F
219,F
350,F
53,F
270,R
37,R
195,R
43,R
303,F
346,R
195,F
81,R
100,R
205,R
65,F
274,F
279,F
258,R
192,F
126,R
128,F
30,F
66,F
67,F
95,F
397,F
344,F
381,R
74,F
145,F
74,F
135,R
280,F
328,F
260,R
394,F
149,R
3,F
328,F
71,F
125,F
359,R
171,R
269,F
195,F
229,F
235,F
191,R
4,R
76,F
287,R
265,R
169,F
110,R
14,F
225,R
395,F
302,F
400,R
375,R
14,F
394,R
383,R
226,F
389,F
123,R
131,F
293,R
254,F
119,R
161,F
387,F
21,R
157,R
190,R
111,F
242,F
299,R
90,R
3,R
216,R
54,R
334,R
156,F
162,F
41,R
252,F
274,F
296,F
125,R
143,F
103,F
51,R
259,R
162,F
273,R
357,F
89,R
336,R
105,F
391,R
15,F
234,R
296,R
67,F
333,F
239,F
242,F
250,F
